(373, 165, 0)
(374, 168, 0)
(374, 168, 0)
(377, 169, 0)
(379, 171, 0)
(381, 171, 0)
(381, 171, 1)
(381, 171, 1)
(381, 171, 1)
(381, 171, 1)
(381, 171, 1)
(381, 171, 1)
(381, 171, 1)
(381, 171, 1)
(381, 171, 1)
(381, 171, 1)
(381, 171, 1)
(381, 171, 1)
(381, 171, 1)
(381, 171, 1)
(381, 171, 1)
(381, 171, 1)
(381, 171, 0)
(381, 171, 0)
(381, 171, 0)
(381, 171, 0)
(379, 171, 0)
(381, 171, 0)
(381, 171, 0)
(381, 171, 0)
(381, 171, 0)
(381, 171, 0)
(381, 171, 0)
(381, 171, 0)
(381, 171, 0)
(381, 171, 0)
(381, 171, 0)
(381, 171, 0)
(381, 171, 0)
(381, 171, 0)
(377, 177, 0)
(377, 177, 0)
(378, 181, 0)
(378, 182, 0)
(378, 182, 0)
(378, 182, 0)
(378, 182, 0)
(378, 182, 0)
(379, 182, 0)
(381, 182, 0)
(382, 183, 0)
(382, 183, 1)
(382, 183, 1)
(382, 183, 1)
(382, 183, 1)
(382, 183, 1)
(382, 183, 1)
(382, 183, 1)
(382, 183, 1)
(382, 183, 1)
(382, 183, 1)
(382, 183, 1)
(382, 183, 1)
(382, 183, 1)
(382, 183, 1)
(382, 183, 1)
(382, 183, 0)
(382, 183, 0)
(382, 183, 0)
(382, 183, 0)
(382, 183, 0)
(387, 175, 0)
(390, 174, 0)
(390, 174, 0)
(391, 174, 0)
(394, 174, 0)
(396, 174, 0)
(400, 173, 0)
(403, 171, 0)
(405, 164, 0)
(408, 165, 0)
(408, 165, 0)
(408, 166, 0)
(408, 166, 0)
(410, 168, 0)
(410, 168, 0)
(410, 168, 0)
(410, 168, 0)
(410, 168, 0)
(409, 168, 0)
(409, 173, 0)
(409, 173, 0)
(409, 173, 0)
(409, 173, 1)
(409, 173, 1)
(409, 173, 1)
(409, 173, 1)
(409, 173, 1)
(409, 173, 1)
(409, 173, 1)
(409, 173, 1)
(409, 173, 1)
(409, 173, 1)
(409, 173, 1)
(409, 173, 1)
(409, 173, 1)
(409, 173, 1)
(409, 173, 1)
(409, 173, 1)
(409, 173, 1)
(409, 173, 1)
(409, 173, 1)
(409, 173, 1)
(268, 184, 0)
(269, 186, 0)
(270, 186, 0)
(270, 186, 0)
(271, 187, 0)
(271, 187, 0)
(271, 187, 0)
